OMRÅDE;BEVOKSNING;TID;INDHOLD
Høje Taastrup;Andre nåletræarter;2000;11,2
Ishøj;Skovareal i alt;1990;0,0
Ishøj;Skovareal i alt;2000;45,6
Ishøj;Hjælpearealer;1990;0,0
Ishøj;Hjælpearealer;2000;0,0
Ishøj;Skovbevokset areal i alt;1990;0,0
Ishøj;Skovbevokset areal i alt;2000;45,6
Ishøj;Midlertidig ubevokset;1990;0,0
Ishøj;Midlertidig ubevokset;2000;0,0
Ishøj;Løvtræer, areal i alt;1990;0,0
Ishøj;Løvtræer, areal i alt;2000;31,0
Ishøj;Bøg;1990;0,0
Ishøj;Bøg;2000;7,1
Ishøj;Eg;1990;0,0
Ishøj;Eg;2000;19,8
Ishøj;Ask;1990;0,0
Ishøj;Ask;2000;0,0
Ishøj;Ær (Ahorn);1990;0,0
Ishøj;Ær (Ahorn);2000;0,0
Ishøj;Andre løvtræarter;1990;0,0
Ishøj;Andre løvtræarter;2000;4,1
Ishøj;Nåletræer i alt;1990;0,0
Ishøj;Nåletræer i alt;2000;14,6
Ishøj;Rødgran;1990;0,0
Ishøj;Rødgran;2000;1,7
Ishøj;Sitkagran mv.;1990;0,0
Ishøj;Sitkagran mv.;2000;0,0
Ishøj;Nobilis;1990;0,0
Ishøj;Nobilis;2000;0,0
Ishøj;Nordmannsgran;1990;0,0
Ishøj;Nordmannsgran;2000;6,6
Ishøj;Andre ædelgranarter;1990;0,0
Ishøj;Andre ædelgranarter;2000;0,0
Ishøj;Andre nåletræarter;1990;0,0
Ishøj;Andre nåletræarter;2000;6,3
Ledøje-Smørum;Skovareal i alt;1990;54,6
Ledøje-Smørum;Skovareal i alt;2000;76,0
Ledøje-Smørum;Hjælpearealer;1990;0,4
Ledøje-Smørum;Hjælpearealer;2000;1,2
Ledøje-Smørum;Skovbevokset areal i alt;1990;54,2
Ledøje-Smørum;Skovbevokset areal i alt;2000;74,8
Ledøje-Smørum;Midlertidig ubevokset;1990;0,0
Ledøje-Smørum;Midlertidig ubevokset;2000;0,0
Ledøje-Smørum;Løvtræer, areal i alt;1990;40,0
Ledøje-Smørum;Løvtræer, areal i alt;2000;48,0
Ledøje-Smørum;Bøg;1990;0,0
Ledøje-Smørum;Bøg;2000;7,0
Ledøje-Smørum;Eg;1990;0,0
Ledøje-Smørum;Eg;2000;1,0
Ledøje-Smørum;Ask;1990;0,0
Ledøje-Smørum;Ask;2000;4,0
Ledøje-Smørum;Ær (Ahorn);1990;0,0
Ledøje-Smørum;Ær (Ahorn);2000;3,0
Ledøje-Smørum;Andre løvtræarter;1990;40,0
Ledøje-Smørum;Andre løvtræarter;2000;33,0
Ledøje-Smørum;Nåletræer i alt;1990;14,2
Ledøje-Smørum;Nåletræer i alt;2000;26,8
Ledøje-Smørum;Rødgran;1990;12,8
Ledøje-Smørum;Rødgran;2000;16,0
Ledøje-Smørum;Sitkagran mv.;1990;0,0
Ledøje-Smørum;Sitkagran mv.;2000;0,0
Ledøje-Smørum;Nobilis;1990;0,0
Ledøje-Smørum;Nobilis;2000;0,0
Ledøje-Smørum;Nordmannsgran;1990;0,8
Ledøje-Smørum;Nordmannsgran;2000;10,8
Ledøje-Smørum;Andre ædelgranarter;1990;0,0
Ledøje-Smørum;Andre ædelgranarter;2000;0,0
Ledøje-Smørum;Andre nåletræarter;1990;0,6
Ledøje-Smørum;Andre nåletræarter;2000;0,0
Lyngby-Taarbæk;Skovareal i alt;1990;818,8
Lyngby-Taarbæk;Skovareal i alt;2000;751,5
Lyngby-Taarbæk;Hjælpearealer;1990;66,3
Lyngby-Taarbæk;Hjælpearealer;2000;50,8
Lyngby-Taarbæk;Skovbevokset areal i alt;1990;752,5
Lyngby-Taarbæk;Skovbevokset areal i alt;2000;700,7
Lyngby-Taarbæk;Midlertidig ubevokset;1990;48,5
Lyngby-Taarbæk;Midlertidig ubevokset;2000;2,4
Lyngby-Taarbæk;Løvtræer, areal i alt;1990;653,6
Lyngby-Taarbæk;Løvtræer, areal i alt;2000;654,7
Lyngby-Taarbæk;Bøg;1990;365,2
Lyngby-Taarbæk;Bøg;2000;370,4
Lyngby-Taarbæk;Eg;1990;183,9
Lyngby-Taarbæk;Eg;2000;182,4
